MOLECULE_NAME,SMILES,LogP
42,CCCC1=CC2OCOC=2C=C1COCCOCCOCCCC,"4,75"
43,CCN(CCNC(=O)C1C=CC(N)=CC=1)CC,"0,88"
44,O=C(CCNNC(=O)C1=CC=NC=C1)NCC1C=CC=CC=1,"0,87"
45,C1NC2C=CC=CC=2N=1,"1,32"
46,O=C1NC(=O)N=CC1Br,"-0,21"
47,O=C1NC(=O)N=CC1F,"-0,89"
48,[O-][N+](=O)C1C=C(C=CC=1O)[N+]([O-])=O,"1,67"
49,CN1C2CC(CC1C1OC12)OC(=O)C(CO)C1C=CC=CC=1,"0,98"
50,OC(=O)C1C=C(Cl)C=C(Cl)C=1,"3,00"
51,NCC(O)C1C=C(O)C(O)=CC=1,"-1,24"
52,CNCC(O)C1C=C(O)C(O)=CC=1,"-1,20"
53,OC(=O)C1C=C(Cl)C(Cl)=CC=1,"3,25"
54,NCCC1=CN=CN1,"-0,70"
55,CN1C2CC(CC1CC2)OC(=O)C(CO)C1C=CC=CC=1,"1,83"
56,NCCC1=CC(O)=C(O)C=C1,"-0,98"
57,CC(N)CC1C=CC=CC=1,"1,76"
58,CC(=O)NC1C=CC(=CC=1)OC,"1,03"
59,CN(CCCl)CCCl,"0,91"
60,CCOC(N)=O,"-0,15"
61,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC43CCC(=O)O4)C21,"2,78"
62,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,"2,40"
63,S=P(N1CC1)(N1CC1)N1CC1,"0,53"
64,COC1C=CC2CC3C4C=CC(O)C5OC=1C=2C45CCN3C,"-1,40"
65,CCC1(C2CCCCC=2)C(=O)NC(=O)NC1=O,"1,77"
66,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,"1,15"
67,O=C1NC(=O)C2(CCCCC2)C(=O)N1,"0,91"
68,O=C1NC(=S)NC(=O)C21CCCCC2,"1,78"
69,NC1(CCCC1)C(O)=O,"-2,28"
70,CN(CCCC(C#N)(C(C)C)C1C=C(OC)C(=CC=1)OC)CCC1C=C(OC)C(=CC=1)OC,"3,79"
71,CC(C)(S)C(N)C(O)=O,"-1,78"
72,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,"0,51"
73,CN(C)S(=O)(=O)C1C=CC(=CC=1)OP(=S)(OC)OC,"2,23"
74,OC1(CCN(CCCC(=O)C2C=CC(F)=CC=2)CC1)C1C=CC(Cl)=CC=1,"4,29"
75,NC(CS)C(O)=O,"-2,49"
76,CC12CC(=O)C3C(CCC4=CC(=O)C=CC43C)C1CCC2(O)C(=O)CO,"1,46"
77,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,"1,47"
78,CC12CCC3C(CCC4C=C(O)C=CC=43)C1CCC2=O,"3,13"
79,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,"3,69"
80,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,"3,23"
81,CN(C)CCCN1C2=CC=CC=C2SC2C=CC=CC1=2,"2,94"
82,C1=C2C3=CC=CC=C3C=CC2=CC2=C3C=CC=CC3=CC=C21,"6,63"
83,CN(C)C1=NC=NC2=C1N=CN2C1OC(CO)C(NC(=O)C(N)CC2C=CC(=CC=2)OC)C1O,"0,03"
84,CC1=C(CC(O)=O)C2C=C(C=CC=2N1C(=O)C1C=CC(Cl)=CC=1)OC,"4,27"
85,COC1C=C(CCN)C=C(OC)C=1OC,"0,78"
86,CC(CCCN(CC)CC)NC1C=CN=C2C=C(Cl)C=CC2=1,"4,63"
87,CN1CCCC1C1=CN=CC=C1,"1,17"
88,NC(CC1=CNC2=CC=CC=C21)C(O)=O,"-1,05"
89,O=C1NC(=O)N=CC1C(F)(F)F,"0,04"
90,OC1=CC=CC=C1C(O)=O,"-1,43"
91,OCC1OC(C(O)C1O)N1N=CC(=O)NC1=O,"-2,14"
92,NS(=O)(=O)C1C=C(C(O)=O)C(=CC=1Cl)NCC1=CC=CO1,"2,03"
93,CC1C=C(OCCN(C)C)C(=CC=1OC(C)=O)C(C)C,"3,17"
94,OC1CC(OC1CO)N1C=C(I)C(=O)NC1=O,"-0,96"
95,CC(N)C(O)C1=CC(O)=CC=C1,"-0,27"
96,CC(C)NCC(O)C1C=CC2=CC=CC=C2C=1,"3,00"
97,NNC(=O)C1C=CN=CC=1,"-0,70"
98,O=C(CCBr)N1CCN(CC1)C(=O)CCBr,"0,42"
99,CC(C)NNC(=O)C1C=CN=CC=1,"0,37"
100,C1CCCCN2N=NN=C21,"0,14"
101,CCN(CC)N=O,"0,48"
102,NC(=O)C1C=CC=CC=1,"0,64"
103,OC(=O)C1C=CN=CC=1,"0,32"
104,CC1C=C(C=CC=1SC)OP(=S)(OC)OC,"4,09"
105,N=C(NC(=N)NCCCCCCNC(=N)NC(=N)NC1C=CC(Cl)=CC=1)NC1C=CC(Cl)=CC=1,"0,08"
106,[O-][N+](=O)OC(CO[N+]([O-])=O)CO[N+]([O-])=O,"1,62"
107,CC(C)OP(=O)(F)OC(C)C,"1,17"
108,CS(=O)(=O)OCCCCOS(C)(=O)=O,"-0,52"
109,NCCCC(O)=O,"-3,17"
110,ClC(Cl)(Cl)Cl,"2,83"
111,CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,"1,98"
112,CC[N+](CC)(CC)CC,"-3,15"
113,CCOP(=S)(OC1C=CC(=CC=1)[N+]([O-])=O)OCC,"3,83"
114,NCC(O)=O,"-3,21"
115,CC(N)C(O)=O,"-2,85"
116,NC(CO)C(O)=O,"-3,07"
117,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,"3,08"
118,CC1C=CC2C=C3C4=CC=CC=C4C=CC3=C3CCC=1C3=2,"6,42"
119,CCC(C1C=CC(O)=CC=1)=C(CC)C1C=CC(O)=CC=1,"5,07"
120,COC1C=CC2N=CC=C(C(O)C3CC4CCN3CC4C=C)C=2C=1,"3,44"
121,C1=C2C3C=CC=CC=3C=CC2=CC2C=CC=CC=21,"5,60"
122,[O-][N+]1=CC=C(C2=CC=CC=C12)[N+]([O-])=O,"1,09"
123,CC1C2C=CC(=CC=2OC(=O)C=1Cl)OP(=S)(OCC)OCC,"4,13"
124,[O-][N+](=O)C1C=CC(=CC=1)C(O)C(CO)NC(=O)C(Cl)Cl,"1,14"
125,OC(CO)CO,"-1,86"
126,NC(CC(O)=O)C(O)=O,"-3,89"
127,NC(=O)CCC(N)C(O)=O,"-3,64"
128,NC(CCC(O)=O)C(O)=O,"-3,69"
129,NCCCCC(N)C(O)=O,"-3,05"
130,NC(CSSCC(N)C(O)=O)C(O)=O,"-5,08"
131,NCC1=CC=C(C=C1)C(O)=O,"1,03"
132,C[N+](C)(C)CC1C=CC=CC=1,"-2,17"
133,CCCCCCCCCCCCCCCC(O)=O,"7,17"
134,CCCCCCCCCCCCCCCCCC(O)=O,"8,23"
135,NC(N)=O,"-1,88"
136,CC(C)(O)C(Cl)(Cl)Cl,"2,03"
137,O=C1CC2OCC=C3CN4CCC56C(C2C3CC54)N1C1C=CC=CC6=1,"1,93"
138,CN1CCC23C4OC5C2=C(CC1C3C=CC4O)C=CC=5O,"0,89"
139,O=C1NC(=O)C(N1)(C1C=CC=CC=1)C1C=CC=CC=1,"2,37"
140,CCOC(=O)C1(CCN(C)CC1)C1C=CC=CC=1,"2,72"
141,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,"2,07"
142,CCC1(CC)C(=O)NC(=O)NC1=O,"0,65"
143,CN1CCC2(C)C1N(C)C1C=CC(=CC2=1)OC(=O)NC,"1,58"
144,OC1C(OC(CO)C(O)C1O)OC1(CO)OC(CO)C(O)C1O,"-3,70"
145,CCCC(C)(COC(N)=O)COC(N)=O,"0,70"
146,CC(O)CO,"-0,92"
147,CC1(O)C2CC3C(C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C2C(=O)C2=C1C(Cl)=CC=C2O)N(C)C,"-0,62"
148,CC12CCC3C(CCC4C=C(O)C=CC=43)C1CCC2(O)C#C,"3,67"
149,CCCN(CCC)S(=O)(=O)C1C=CC(=CC=1)C(O)=O,"3,21"
150,NC1C=CC(=CC=1)S(=O)(=O)NC(N)=N,"-1,22"
151,CC1C=C(C)N=C(NS(=O)(=O)C2C=CC(N)=CC=2)N=1,"0,19"
152,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,"6,12"
153,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,"3,87"
154,O=S(CCC1C(=O)N(C2C=CC=CC=2)N(C2C=CC=CC=2)C1=O)C1C=CC=CC=1,"2,30"
155,CC1C2=CC=C3C=CC=CC3=C2C(C)=C2C=CC=CC=12,"5,80"
156,CN1CCC2=CC=CC3C4=C(CC1C2=3)C=CC(O)=C4O,"2,30"
157,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,"-0,07"
158,CCC1=NC(N)=NC(N)=C1C1C=CC(Cl)=CC=1,"2,69"
159,CN(C)C1C(=O)N(C2C=CC=CC=2)N(C)C=1C,"1,00"
160,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2(C)O,"3,36"
161,CC1CC2(C)C3CCC4(C)C(O)CCC4C3CCC2CC1=O,"3,99"
162,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2O,"3,32"
163,CNC1CN(=O)=C(C2C=C(Cl)C=CC=2N=1)C1C=CC=CC=1,"2,44"
164,CC1=CC(=O)C2C=CC=CC=2C1=O,"2,20"
165,CN(C)CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,"4,76"
166,CN1CCN(CCCN2C3=CC=CC=C3SC3C=CC(Cl)=CC2=3)CC1,"4,88"
167,OCCN1CCN(CCCN2C3=CC=CC=C3SC3C=CC(Cl)=CC2=3)CC1,"4,20"
168,CN1C(=O)C2NC=NC=2N(C)C1=O,"-0,02"
169,NC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,"-1,05"
170,OC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,"-2,10"
171,CN(C)CCOC(C1C=CC=CC=1)C1C=CC=CC=1,"3,27"
172,COC1=CC=C(CC2=NC=CC3=CC(OC)=C(C=C32)OC)C=C1OC,"2,95"
173,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,"3,72"
174,OC1C(Cl)=CC(Cl)=C(Cl)C=1Cl,"4,45"
175,NS(=O)(=O)C1=CC2=C(C=C1Cl)NCNS2(=O)=O,"-0,07"
176,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O,"-0,24"
177,OCC1OC(C(O)C1O)N1C=CC(=O)NC1=O,"-1,98"
178,CN(CC1C=NC2N=C(N)N=C(N)C=2N=1)C1C=CC(=CC=1)C(=O)NC(CCC(O)=O)C(O)=O,"-1,85"
179,CCOC1C=C(N)C=CC=1C(O)=O,"0,99"
180,OC1CC(OC1CO)N1C=C(Br)C(=O)NC1=O,"-0,29"
181,CCN(CC)C(=O)C1C=NC=CC=1,"0,33"
182,O=C1C=CC2=CC=CC=C2N1,"1,26"
183,NC1C=CC(=CC=1)S(=O)(=O)NC1=CN=C2C=CC=CC2=N1,"1,68"
184,CNCC(O)C1C=C(O)C=CC=1,"-0,31"
185,CCN(CCOC(=O)C1C=CC(N)=CC=1)CC,"2,14"
186,CC1=CC=CC=C1OCC(O)CO,"1,41"
187,O=C1CC2=CC=CC=C2N1,"1,16"
188,O=C1NC2C=CC=CC=2O1,"1,16"
189,CC1C=C(O)C=CC=1Cl,"3,10"
190,CC(C)NCC(O)C1C=CC(Cl)=C(Cl)C=1,"3,32"
191,CC1=CC(=NO1)C(=O)NNCC1C=CC=CC=1,"1,49"
192,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,"-0,26"
193,OC(=O)C1C=NC=CC=1,"0,36"
194,NC(=O)N=NCC1=CC=C(O1)[N+]([O-])=O,"0,23"
195,O=NN1CCOCC1,"-0,44"
196,NC(CC1C=C(O)C(O)=CC=1)C(O)=O,"-2,39"
197,C(C1NCCN=1)C1C=CC=CC=1,"2,65"
198,NC1C=CC(=CC=1)N=NC1C=CC=CC=1,"3,41"
199,CN(C)C1C=CC(=CC=1)N=NC1C=CC=CC=1,"4,58"
200,OCCC1C=CC=CC=1,"1,36"
201,NC(CC1C=CC(F)=CC=1)C(O)=O,"-1,89"
202,NC(CC1=CC=C(O)C=C1)C(O)=O,"-2,26"
203,CN1CC(=O)NC1=N,"-1,76"
204,CCOCC,"0,89"
205,NCCCCCC(O)=O,"-2,95"
206,CCCCCC=CCC=CCCCCCCCC(O)=O,"7,05"
207,CNN,"-1,05"
208,CC(N)=O,"-1,18"
209,CNC(=O)CSP(=S)(OC)OC,"0,78"
210,CC1(O)C2CC3C(C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C2C(=O)C2C1=CC=CC=2O)N(C)C,"-1,30"
211,CN1CC=NC1=S,"-0,34"
212,ClC1(Cl)C2(Cl)C3C4CC(C5OC54)C3C1(Cl)C(Cl)=C2Cl,"5,12"
213,CN1C(C)=CC(=O)N1C1C=CC=CC=1,"0,30"
214,CN(C)C(C)CN1C2C=CC=CC=2SC2C=CC=CC1=2,"4,81"
215,NC1N=CN=C2C=1N=CN2C1OC2COP(O)(=O)OC2C1O,"-2,96"
216,CN(C)CC(C)CN1C2C=C(C=CC=2SC2C=CC=CC1=2)OC,"4,68"
217,CN(C)CCCN1C2=CC=CC=C2SC2C=CC(=CC1=2)OC,"4,90"
218,COC1=CC=CC(OC)=C1C(=O)NC1C2SC(C)(C)C(C(O)=O)N2C1=O,"1,22"
219,CC1(C)SC2C(NC(=O)CC3C=CC=CC=3)C(=O)N2C1C(O)=O,"1,83"
220,NCCC1=CNC2=CC=CC=C21,"1,55"
221,[O-][N+](=O)C1=CN=C(S1)N1CCNC1=O,"0,95"
222,CC1C(=CC=CC=1C)NC1C=CC=CC=1C(O)=O,"5,12"
223,CC1ON=C(C=1C(=O)NC1C2SC(C)(C)C(C(O)=O)N2C1=O)C1=CC=CC=C1Cl,"2,48"
224,NC1C=CC(=CC=1)C(=O)NCC(O)=O,"-0,89"
225,NC1=NC2C=C(Cl)C=CC=2O1,"2,46"
226,NC1N=CNN=1,"-0,92"
227,CC(C)CC(N)C(O)=O,"-1,52"
228,[O-][N+](=O)C1C=CC(=CC=1)C(O)=O,"1,89"
229,CC(=O)NC1C=CC(=CC=1)OCC,"1,58"
230,NC1C=CC=CC=1,"0,90"
231,CC(N)=S,"-0,26"
232,NC(N)=S,"-1,05"
233,C=CCN1CCC23C4OC5C2=C(CC1C3C=CC4O)C=CC=5O,"1,86"
234,COP(=O)(OC=C(Cl)Cl)OC,"1,43"
235,CN(C)N=O,"-0,57"
236,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2=O,"2,75"
237,CNC(=O)OC1C=CC=C2C=CC=CC2=1,"2,36"
238,CSCCC(N)C(O)=O,"-1,87"
239,NC1C=CC(=CC=1)S(N)(=O)=O,"-0,62"
240,CN1CC(=CCC1)C(=O)OC,"0,35"
241,NC(CC1C=CC=CC=1)C(O)=O,"-1,38"
242,NC(=O)NC(=O)CC1C=CC=CC=1,"0,87"
243,CC1C=C(C=CC=1)NC(N)=O,"1,29"
244,CNC(=O)OC1C=C(C=CC=1)C(C)C,"2,63"
245,NCCC1C=CC=CC=1,"1,41"
246,NC(=O)NC1C=CC=CC=1,"0,83"
247,COC1C=CC(CC(C)N)=CC=1,"1,77"
248,CCO,"-0,31"
249,OC=O,"-0,54"
250,CC(O)=O,"-0,17"
251,CCC(=O)OC1(CC(C)N(C)CC1C)C1C=CC=CC=1,"3,13"
252,CCOS(=O)(=O)OCC,"1,14"
253,CC1C=CC(=CC=1)S(=O)(=O)NC(=O)NCCCC,"2,34"
254,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2C(=O)CO,"2,88"
255,CC(=O)NC1CCC2C=C(OC)C(OC)=C(OC)C=2C2=CC=C(OC)C(=O)C=C21,"1,30"
256,CC1N=CC(CO)=C(CO)C=1O,"-0,77"
257,NC(=O)C1=CC=CC=C1O,"1,28"
258,NC1C=CN(C2OC(CO)C(O)C2O)C(=O)N=1,"-2,51"
259,NC1C=C(O)C(=CC=1)C(O)=O,"0,89"
260,CC1C=NC(=O)NC1=O,"-0,62"
261,OC(=O)C1C=CC=CC=1,"1,87"
262,OC1N=C(O)C=C(N=1)C(O)=O,"-0,83"
263,O=C1NC(=O)CC=N1,"-1,07"
264,CCCCCC=O,"1,78"
265,CC12CCC3C(CCC4(O)CC(O)CCC43C=O)C1(O)CCC2C1COC(=O)C=1,"0,64"
266,C1=CC2C=CC=NC=2C2N=CC=CC=21,"1,78"
267,O=C1OC2=CC=CC=C2C(=O)C1CC1C(=O)C2=CC=CC=C2OC1=O,"2,07"
268,CC1ON=C(C=1C(=O)NC1C2SC(C)(C)C(C(O)=O)N2C1=O)C1C=CC=CC=1,"2,38"
269,CC1CC(C(O)CC2CC(=O)NC(=O)C2)C(=O)C(C)C1,"0,55"
270,O=C1C=CC2=CC3C=COC=3C=C2O1,"1,67"
271,[O-][N+](=O)C1=CC=C(C=NN2CC(=O)NC2=O)O1,"-0,47"
272,[O-][N+](=O)C1=CC=C(C=NN2CCOC2=O)O1,"-0,04"
273,CC1=CC(C)=NN1,"1,01"
274,O=C1NC(=O)CC(=O)N1,"-1,47"
275,CO,"-0,77"
276,CC(C)O,"0,05"
277,CC(C)=O,"-0,24"
278,ClC(Cl)Cl,"1,97"
279,CS(C)=O,"-1,35"
280,CS(C)(=O)=O,"-1,41"
281,ClC(Cl)(Cl)C(Cl)(Cl)Cl,"4,14"
282,CC1(C)OC2(C(CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC23C)O1)C(=O)CO,"2,48"
283,CC12C=CC(=O)C=C1CCC1C3CC(OC(C)=O)C(O)(C(=O)COC(C)=O)C3(C)CC(O)C21F,"1,92"
284,OC(=O)CS,"0,09"
285,CN(C)C=O,"-1,01"
286,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(O)C#C,"2,97"
287,CC1CCCC(C)(C)C=1C=CC(C)=CC=CC(C)=CCO,"5,68"
288,NC1C=CC(=CC=1)S(=O)(=O)NC1N=CC=CN=1,"-0,09"
289,ClC(Cl)(Cl)C1C=CC(=CC=1)C(Cl)(Cl)Cl,"4,62"
290,O=C1C(=CC(=O)C(=C1N1CC1)N1CC1)N1CC1,"-0,13"
291,O=C1NC=NC2N=CNC=21,"-1,11"
292,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,"3,17"
293,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1,"4,36"
294,CC1(C)SC2C(NC(=O)C(N)C3C=CC=CC=3)C(=O)N2C1C(O)=O,"1,35"
295,OC1C=CC=CC=1C(O)=O,"2,26"
296,O=C1NC2N=CNC=2C(=O)N1,"-0,73"
297,NC(C(O)=O)C1C=CC=CC=1,"-1,70"
298,O=C1NC2C(N1)=NC(=O)NC2=O,"-2,17"
299,OC1CC(OC1CO)N1C=C(C(=O)NC1=O)C(F)(F)F,"-0,46"
300,O=C(CBr)C1C=CC=CC=1,"2,19"
301,NCCCC(N)C(O)=O,"-4,22"
302,OC1C(CC2C(Cl)=C(Cl)C=C(Cl)C=2O)=C(Cl)C(Cl)=CC=1Cl,"7,54"
303,NC(=O)CC(N)C(O)=O,"-3,82"
304,CC1=CC=C(C=C1)S(N)(=O)=O,"0,82"
305,CCC(=O)C1C=CC(O)=CC=1,"2,03"
306,NC(CC1=CN=CN1)C(O)=O,"-3,32"
307,CCCO,"0,25"
308,NC1CC=NC(=O)N=1,"-1,73"
309,O=C1NC=NC(=O)N1,"-1,87"
310,CCCCO,"0,88"
311,CCCCCO,"1,54"
312,C1C=CC=CC=1,"2,13"
313,CC(Cl)(Cl)Cl,"2,49"
314,CC12CCC(CC1CCC1C2CCC2(C)C(CCC21O)C1COC(=O)C=1)OC1CC(O)C(OC2CC(O)C(OC3CC(O)C(O)C(C)O3)C(C)O2)C(C)O1,"2,34"
315,NC1C=CC(=CC=1)S(=O)(=O)NC1=NC=CS1,"0,05"
316,CC(C)C(N)C(O)=O,"-2,26"
317,CC(O)C(N)C(O)=O,"-2,94"
318,COC1C=CC(=CC=1)C(C1C=CC(=CC=1)OC)C(Cl)(Cl)Cl,"5,08"
319,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,"6,12"
320,ClC(Cl)=C(C1C=CC(Cl)=CC=1)C1C=CC(Cl)=CC=1,"6,73"
321,CNCCC=C1C2C=CC=CC=2CCC2C=CC=CC=21,"4,51"
322,NC1=NC=NC2NC=NC=21,"-0,09"
323,CC(CC)C(N)C(O)=O,"-1,72"
324,NC1NC(=O)C2N=CNC=2N=1,"-0,91"
325,NS(=O)(=O)C1C=C2C(=CC=1C(F)(F)F)NC(CC1=CC=CC=C1)NS2(=O)=O,"1,54"
326,OC(=O)C1C=CC(Cl)=CC=1,"2,65"
327,NC(=N)NCCCC(N)C(O)=O,"-4,20"
328,CBr,"1,19"
329,CC,"1,81"
330,C=C,"1,13"
331,C#C,"0,37"
332,CCl,"1,08"
333,CI,"1,51"
334,CN,"-0,57"
335,C#N,"-0,25"
336,BrCBr,"1,79"
337,CCBr,"1,61"
338,ClCBr,"1,41"
339,CCC,"2,36"
340,CC#C,"0,94"
341,CCCl,"1,43"
342,CCI,"2,00"
343,CCN,"-0,13"
344,CC#N,"-0,34"
345,CC=O,"-0,34"
346,ClCCl,"1,25"
347,FCF,"0,20"
348,ICI,"2,30"
349,NC=O,"-1,51"
350,S=C=S,"1,94"
351,C1CC1,"1,72"
352,C1CO1,"-0,30"
353,BrC(Br)Br,"2,54"
354,CC(C)Br,"2,14"
355,ClC(Cl)Br,"2,05"
356,CC(C)C,"2,76"
357,CC(C)Cl,"1,90"
358,CC(C)I,"2,89"
359,CC(C)N,"0,26"
360,CC(Cl)Cl,"1,79"
361,C=C(Cl)Cl,"2,13"
362,CC(F)F,"0,75"
363,C=C(F)F,"1,24"
364,FC(Cl)Cl,"1,55"
365,FC(F)Cl,"1,08"
366,FC(F)F,"0,64"
367,CN(C)C,"0,16"
368,C[N+]([O-])=O,"-0,30"
369,CC1CO1,"0,03"
370,FC(F)(F)Br,"1,86"
371,CC(C)(C)N,"0,40"
372,CC(C)(C)O,"0,35"
373,FC(Cl)(Cl)Cl,"2,53"
374,FC(F)(Cl)Cl,"2,16"
375,FC(F)(F)Cl,"1,65"
376,FC(F)(F)F,"1,18"
377,C[Si](C)(C)C,"3,24"
378,OCC(Br)(Br)Br,"2,10"
379,CCC(C)(C)C,"3,82"
380,CC(C)(C)CO,"1,31"
381,CCC(C)(C)O,"0,89"
382,O=CC(Cl)(Cl)Cl,"0,99"
383,OCC(F)(F)F,"0,41"
384,CC(=O)C(C)(C)C,"1,20"
385,CC(C)(C)C(O)=O,"1,48"
386,CC(Cl)(Cl)C(O)=O,"0,78"
387,ClC(Cl)C(Cl)(Cl)Cl,"3,22"
388,OC(=O)C(Cl)(Cl)Cl,"1,33"
389,[O-][N+](=O)C(Cl)(Cl)Cl,"2,09"
390,FC(F)(Cl)C(F)(Cl)Cl,"3,16"
391,FC(F)(Cl)C(F)(F)Cl,"2,82"
392,FC(F)(F)C(F)(F)F,"2,00"
393,CC1(C)C2CC(=O)C1(C)CC2,"2,38"
394,CC1(C)OC2(C(CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC23C)O1)C(=O)CO,"2,53"
395,COC(F)(F)C(Cl)Cl,"2,21"
396,CN1CCC23C4OC5C2=C(CC1C3(O)CCC4=O)C=CC=5O,"0,83"
397,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C,"2,38"
398,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,"6,10"
399,C=CCC1(C2CCC=C2)C(=O)NC(=O)NC1=O,"1,51"
400,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,"1,97"
